k,snr_db,method,frames,errors,fer,fer_ci95_lower,fer_ci95_upper,ber,elapsed_s,details
16,2.0,MBBP-16,30077,500,0.016623998404096153,0.015209238674060595,0.018133195223880596,0.006166711788948049,14.996144681004807,flooding normalized min-sum; alpha=0.5; I_max=20; optimized selection from saved fair-64 search matrices; 16 parent-code SSPCMs
16,2.5,MBBP-16,64644,500,0.007734669884289338,0.00707377245806392,0.00844031238109017,0.002872877385593183,20.631915762089193,flooding normalized min-sum; alpha=0.5; I_max=20; optimized selection from saved fair-64 search matrices; 16 parent-code SSPCMs
16,3.0,MBBP-16,197516,500,0.00253144049089694,0.002314633066730426,0.0027630467406283515,0.0009379187926748631,44.55981876607984,flooding normalized min-sum; alpha=0.5; I_max=20; optimized selection from saved fair-64 search matrices; 16 parent-code SSPCMs
16,3.5,MBBP-16,766254,500,0.0006525251417937133,0.0005965920816492595,0.0007122872456132523,0.0002434022354309883,149.68744977097958,flooding normalized min-sum; alpha=0.5; I_max=20; optimized selection from saved fair-64 search matrices; 16 parent-code SSPCMs
16,4.0,MBBP-16,3626755,500,0.0001378642891510455,0.00012604414023294474,0.00015049426317045696,5.1158592885287964e-05,683.3761805780232,flooding normalized min-sum; alpha=0.5; I_max=20; optimized selection from saved fair-64 search matrices; 16 parent-code SSPCMs
16,4.5,MBBP-16,22577830,500,2.2145618068698366e-05,2.024680851894185e-05,2.4174542675399015e-05,8.171381549602575e-06,4329.378374634078,flooding normalized min-sum; alpha=0.5; I_max=20; optimized selection from saved fair-64 search matrices; 16 parent-code SSPCMs
16,2.0,MBBP-8,19841,500,0.025200342724661054,0.023064079005000696,0.027477229478310026,0.009014522597507325,9.94146583089605,flooding normalized min-sum; alpha=0.5; I_max=20; optimized selection from saved fair-64 search matrices; 8 parent-code SSPCMs
16,2.5,MBBP-8,52836,500,0.009463244757362405,0.008655276590603868,0.010325765998907683,0.0034175832495160225,11.71743293502368,flooding normalized min-sum; alpha=0.5; I_max=20; optimized selection from saved fair-64 search matrices; 8 parent-code SSPCMs
16,3.0,MBBP-8,154822,500,0.0032295151851804006,0.0029530069893222424,0.0035248767244010193,0.0011458114828436876,21.947545683942735,flooding normalized min-sum; alpha=0.5; I_max=20; optimized selection from saved fair-64 search matrices; 8 parent-code SSPCMs
16,3.5,MBBP-8,561533,500,0.0008904196191497205,0.000814102865475281,0.0009719589071582161,0.0003187419563661031,51.04643006902188,flooding normalized min-sum; alpha=0.5; I_max=20; optimized selection from saved fair-64 search matrices; 8 parent-code SSPCMs
16,4.0,MBBP-8,2417666,500,0.00020681103179678251,0.00018908010271982294,0.00022575661708962446,7.379542848875668e-05,218.62443224992603,flooding normalized min-sum; alpha=0.5; I_max=20; optimized selection from saved fair-64 search matrices; 8 parent-code SSPCMs
16,4.5,MBBP-8,16438784,500,3.041587504282555e-05,2.7807966762227774e-05,3.320248675743309e-05,1.0998959765486535e-05,1329.514553416986,flooding normalized min-sum; alpha=0.5; I_max=20; optimized selection from saved fair-64 search matrices; 8 parent-code SSPCMs
16,2.0,Subcode ensemble-16,32939,500,0.015179574364734813,0.01388689316611515,0.016558744308549454,0.005761009889854117,14.996144681004807,flooding normalized min-sum; alpha=0.5; I_max=20; optimized selection from saved fair-64 search matrices; 8 subcode SSPCMs x 2 affine cosets
16,2.5,Subcode ensemble-16,72268,500,0.0069186915370565115,0.006327299270600966,0.007550174634039564,0.0026143868370026558,20.631915762089193,flooding normalized min-sum; alpha=0.5; I_max=20; optimized selection from saved fair-64 search matrices; 8 subcode SSPCMs x 2 affine cosets
16,3.0,Subcode ensemble-16,221968,500,0.0022525769480285446,0.0020596289554702107,0.002458700892442334,0.0008499723683894375,44.55981876607984,flooding normalized min-sum; alpha=0.5; I_max=20; optimized selection from saved fair-64 search matrices; 8 subcode SSPCMs x 2 affine cosets
16,3.5,Subcode ensemble-16,879173,500,0.0005687162822334171,0.0005199653131143597,0.000620805060137148,0.00021529973541693648,149.68744977097958,flooding normalized min-sum; alpha=0.5; I_max=20; optimized selection from saved fair-64 search matrices; 8 subcode SSPCMs x 2 affine cosets
