k,snr_db,method,frames,errors,fer,fer_ci95_lower,fer_ci95_upper,ber,elapsed_s,details,avg_iterations
18,2.0,BP on H,584,500,0.8561643835616438,0.8250479389287365,0.8836212587879394,0.1476407914764079,2.333196019055322,flooding normalized min-sum; alpha=0.5; I_max=20; matrix=45x63; edges=450,18.546232876712327
18,2.5,BP on H,647,500,0.7727975270479135,0.7385315204550944,0.8045520408074339,0.12497240008831972,1.5821621851064265,flooding normalized min-sum; alpha=0.5; I_max=20; matrix=45x63; edges=450,17.74806800618238
18,3.0,BP on H,767,500,0.651890482398957,0.6169918310304591,0.6856159232624625,0.09792843691148775,2.224179936107248,flooding normalized min-sum; alpha=0.5; I_max=20; matrix=45x63; edges=450,16.338983050847457
18,3.5,BP on H,907,500,0.5512679162072768,0.5182260592331238,0.5839757809101387,0.07726501111286117,1.958154678111896,flooding normalized min-sum; alpha=0.5; I_max=20; matrix=45x63; edges=450,14.824696802646086
18,4.0,BP on H,1291,500,0.3872966692486445,0.3606191819819093,0.4144886184278017,0.047360849839548524,1.5925966568756849,flooding normalized min-sum; alpha=0.5; I_max=20; matrix=45x63; edges=450,12.28040278853602
18,4.5,BP on H,1791,500,0.27917364600781686,0.2584944566041365,0.3005786070089081,0.033243820513502255,2.7359380540437996,flooding normalized min-sum; alpha=0.5; I_max=20; matrix=45x63; edges=450,10.5499720826354
18,2.0,BP on single SSPCM,3001,500,0.16661112962345884,0.15344255729727604,0.18043305119118883,0.048068633206920446,1.9369731219485402,flooding normalized min-sum; alpha=0.5; I_max=20; matrix=336x103; edges=1680,6.628457180939686
18,2.5,BP on single SSPCM,5399,500,0.09260974254491572,0.08500641960536323,0.10065663213280789,0.02616592725872222,1.6493564129341394,flooding normalized min-sum; alpha=0.5; I_max=20; matrix=336x103; edges=1680,5.125764030375995
18,3.0,BP on single SSPCM,11262,500,0.04439708755105665,0.04066677540044558,0.04836515014901097,0.01244668825915496,2.7645334580447525,flooding normalized min-sum; alpha=0.5; I_max=20; matrix=336x103; edges=1680,4.08657432072456
18,3.5,BP on single SSPCM,26570,500,0.01881821603312006,0.017218317456889298,0.020524532370263818,0.005206970506180141,1.935097062960267,flooding normalized min-sum; alpha=0.5; I_max=20; matrix=336x103; edges=1680,3.3955965374482497
18,4.0,BP on single SSPCM,79227,500,0.006310979842730382,0.0057713858682989835,0.0068871881902210445,0.0016775185467676663,2.5111733691301197,flooding normalized min-sum; alpha=0.5; I_max=20; matrix=336x103; edges=1680,2.980574804044076
18,4.5,BP on single SSPCM,274958,500,0.0018184595465489276,0.0016626663024046644,0.001984898724663998,0.0004927159438030189,4.15990693308413,flooding normalized min-sum; alpha=0.5; I_max=20; matrix=336x103; edges=1680,2.724041489973014
18,2.0,MBBP-8,8056,500,0.062065541211519366,0.05689398837334261,0.06755660023371203,0.018781229804069922,3.1634050318971276,"greedy MBBP-8 from diverse bank64; flooding NMS; alpha=0.5; I_max=20; selected bank arms=[21, 45, 10, 29, 36, 6, 15, 2]",
18,2.5,MBBP-8,18132,500,0.02757555702625193,0.025240488832061286,0.030063734394085127,0.008314687004296535,4.164670267142355,"greedy MBBP-8 from diverse bank64; flooding NMS; alpha=0.5; I_max=20; selected bank arms=[21, 45, 10, 29, 36, 6, 15, 2]",
18,3.0,MBBP-8,47431,500,0.010541628892496468,0.009642026353236318,0.011501867808906057,0.0031310311085141892,5.530978258000687,"greedy MBBP-8 from diverse bank64; flooding NMS; alpha=0.5; I_max=20; selected bank arms=[21, 45, 10, 29, 36, 6, 15, 2]",
18,3.5,MBBP-8,154032,500,0.0032460787368858417,0.002968154446586844,0.0035429524352372983,0.0009779456258110044,6.348797612125054,"greedy MBBP-8 from diverse bank64; flooding NMS; alpha=0.5; I_max=20; selected bank arms=[21, 45, 10, 29, 36, 6, 15, 2]",
18,4.0,MBBP-8,573036,500,0.0008725455294257254,0.0007977601443327618,0.0009524487956978295,0.0002581349774196297,18.77953623398207,"greedy MBBP-8 from diverse bank64; flooding NMS; alpha=0.5; I_max=20; selected bank arms=[21, 45, 10, 29, 36, 6, 15, 2]",
